RANK,TITLE,WORLDWIDE_LIFETIME_GROSS,DOMESTIC_LIFETIME_GROSS,DOMESTIC_PERCENTAGE,FOREIGN_LIFETIME_GROSS,FOREIGN_PERCENTAGE,YEAR,MPAA
1,Avatar,2847379794,760507625,0.267,2086872169,0.733,2009,PG-13
2,Avengers: Endgame,2797501328,858373000,0.307,1939128328,0.693,2019,PG-13
3,Titanic,2201647264,659363944,0.3,1542283320,0.7,1997,PG-13
4,Star Wars: Episode VII - The Force Awakens,2069521700,936662225,0.45299999999999996,1132859475,0.547,2015,PG-13
5,Avengers: Infinity War,2048359754,678815482,0.331,1369544272,0.669,2018,PG-13
6,Spider-Man: No Way Home,1885056798,798056798,0.423,1087000000,0.5770000000000001,2021,PG-13
7,Jurassic World,1671537444,653406625,0.391,1018130819,0.609,2015,PG-13
8,The Lion King,1662899439,543638043,0.327,1119261396,0.6729999999999999,2019,G
9,The Avengers,1518815515,623357910,0.41,895457605,0.59,2012,PG-13
10,Furious 7,1515341399,353007020,0.233,1162334379,0.767,2015,PG-13
11,Frozen II,1450026933,477373578,0.32899999999999996,972653355,0.6709999999999999,2019,PG
12,Avengers: Age of Ultron,1402809540,459005868,0.327,943803672,0.6729999999999999,2015,PG-13
13,Black Panther,1347597973,700426566,0.52,647171407,0.48,2018,PG-13
14,Harry Potter and the Deathly Hallows: Part 2,1342359942,381447587,0.284,960912355,0.716,2011,PG-13
15,Star Wars: Episode VIII - The Last Jedi,1332698830,620181382,0.465,712517448,0.535,2017,PG-13
16,Jurassic World: Fallen Kingdom,1310466296,417719760,0.319,892746536,0.6809999999999999,2018,PG-13
17,Frozen,1281508100,400953009,0.313,880555091,0.687,2013,PG
18,Beauty and the Beast,1273576220,504481165,0.396,769095055,0.604,2017,PG
19,Incredibles 2,1243089244,608581744,0.49,634507500,0.51,2018,PG
20,The Fate of the Furious,1236005118,226008385,0.183,1009996733,0.8170000000000001,2017,PG-13
21,Iron Man 3,1214811252,409013994,0.337,805797258,0.6629999999999999,2013,PG-13
22,Minions,1159444662,336045770,0.29,823398892,0.71,2015,PG
23,Captain America: Civil War,1153337496,408084349,0.354,745253147,0.6459999999999999,2016,PG-13
24,Aquaman,1148528393,335104314,0.292,813424079,0.708,2018,PG-13
25,The Lord of the Rings: The Return of the King,1146436214,378251207,0.33,768185007,0.67,2003,PG-13
26,Spider-Man: Far from Home,1131927996,390532085,0.345,741395911,0.655,2019,PG-13
27,Captain Marvel,1128462972,426829839,0.37799999999999995,701633133,0.622,2019,PG-13
28,Transformers: Dark of the Moon,1123794079,352390543,0.314,771403536,0.6859999999999999,2011,PG-13
29,Skyfall,1108569499,304360277,0.275,804209222,0.725,2012,PG-13
30,Transformers: Age of Extinction,1104054072,245439076,0.222,858614996,0.778,2014,PG-13
31,Jurassic Park,1099428303,404214720,0.368,695213583,0.632,1993,PG-13
32,The Dark Knight Rises,1081153097,448149584,0.414,633003513,0.586,2012,PG-13
33,Joker,1074445730,335477657,0.312,738968073,0.688,2019,R
34,Star Wars: Episode IX - The Rise of Skywalker,1074149279,515202542,0.48,558946737,0.52,2019,PG-13
35,Toy Story 4,1073394593,434038008,0.40399999999999997,639356585,0.596,2019,G
36,Toy Story 3,1066970811,415004880,0.389,651965931,0.611,2010,
37,Pirates of the Caribbean: Dead Man's Chest,1066179747,423315812,0.397,642863935,0.603,2006,PG-13
38,The Lion King,1063611805,422783777,0.39799999999999996,640828028,0.602,1994,G
39,Rogue One: A Star Wars Story,1056057720,532177324,0.504,523880396,0.496,2016,PG-13
40,Aladdin,1050693953,355559216,0.33799999999999997,695134737,0.662,2019,PG
41,Pirates of the Caribbean: On Stranger Tides,1045713802,241071802,0.23,804642000,0.77,2011,PG-13
42,Despicable Me 3,1034800131,264624300,0.256,770175831,0.7440000000000001,2017,PG
43,Finding Dory,1028570942,486295561,0.473,542275381,0.527,2016,PG
44,Star Wars: Episode I - The Phantom Menace,1027082707,474544677,0.462,552538030,0.5379999999999999,1999,PG
45,Alice in Wonderland,1025468216,334191110,0.326,691277106,0.674,2010,PG
46,Zootopia,1024121104,341268248,0.33299999999999996,682852856,0.667,2016,PG
47,Harry Potter and the Sorcerer's Stone,1017713119,318886962,0.313,698826157,0.687,2001,PG
48,The Hobbit: An Unexpected Journey,1017030651,303030651,0.298,714000000,0.7020000000000001,2012,PG-13
49,The Dark Knight,1006102277,534987076,0.532,471115201,0.46799999999999997,2008,PG-13
50,Harry Potter and the Deathly Hallows: Part 1,977070383,296374621,0.303,680695762,0.6970000000000001,2010,PG-13
51,Despicable Me 2,970766005,368065385,0.379,602700620,0.621,2013,PG
52,The Jungle Book,966554929,364001123,0.377,602553806,0.623,2016,PG
53,Jumanji: Welcome to the Jungle,962542945,404540171,0.42,558002774,0.58,2017,PG-13
54,The Hobbit: The Battle of the Five Armies,962201338,255138261,0.265,707063077,0.735,2014,PG-13
55,Pirates of the Caribbean: At World's End,960996492,309420425,0.322,651576067,0.6779999999999999,2007,PG-13
56,The Hobbit: The Desolation of Smaug,959027992,258387334,0.26899999999999996,700640658,0.731,2013,PG-13
57,The Lord of the Rings: The Two Towers,947896241,342952511,0.36200000000000004,604943730,0.638,2002,PG-13
58,Harry Potter and the Order of the Phoenix,942201710,292382727,0.31,649818983,0.69,2007,PG-13
59,Finding Nemo,940352645,380843261,0.405,559509384,0.595,2003,
60,Harry Potter and the Half-Blood Prince,934483039,302334374,0.324,632148665,0.6759999999999999,2009,PG
61,Shrek 2,928760770,441226247,0.475,487534523,0.525,2004,PG
62,Bohemian Rhapsody,910809311,216668042,0.23800000000000002,694141269,0.762,2018,PG-13
63,The Battle at Lake Changjin,902540935,342411,0.001,902198524,1.0,2021,
64,The Lord of the Rings: The Fellowship of the Ring,898094742,316115420,0.35200000000000004,581979322,0.648,2001,PG-13
65,Harry Potter and the Goblet of Fire,896730264,290469928,0.324,606260336,0.6759999999999999,2005,PG-13
66,Spider-Man 3,894983373,336530303,0.376,558453070,0.624,2007,PG-13
67,Ice Age 3: Dawn of the Dinosaurs,886686817,196573705,0.222,690113112,0.778,2009,PG
68,Spectre,880681519,200074609,0.22699999999999998,680606910,0.773,2015,PG-13
69,Spider-Man: Homecoming,880166924,334201140,0.38,545965784,0.62,2017,PG-13
70,Harry Potter and the Chamber of Secrets,879793867,262641637,0.298,617152230,0.7020000000000001,2002,PG
71,Ice Age 4: Continental Drift,877244782,161321843,0.184,715922939,0.816,2012,PG
72,The Secret Life of Pets,875458631,368384330,0.42100000000000004,507074301,0.579,2016,PG
73,Batman v Superman: Dawn of Justice,873637528,330360194,0.37799999999999995,543277334,0.622,2016,PG-13
74,Wolf Warrior 2,870325439,2721100,0.003,867604339,0.997,2017,
75,Star Wars: Episode III - Revenge of the Sith,868390560,380270577,0.43799999999999994,488119983,0.562,2005,PG-13
76,The Hunger Games: Catching Fire,865011746,424668047,0.491,440343699,0.509,2013,PG-13
77,Guardians of the Galaxy Vol. 2,863756051,389813101,0.451,473942950,0.5489999999999999,2017,PG-13
78,Inside Out,858848019,356921711,0.41600000000000004,501926308,0.584,2015,PG
79,Venom,856085151,213515506,0.249,642569645,0.7509999999999999,2018,PG-13
80,Thor: Ragnarok,853983911,315058289,0.369,538925622,0.631,2017,PG-13
81,Inception,836848102,292587330,0.35,544260772,0.65,2010,PG-13
82,Transformers: Revenge of the Fallen,836303693,402111870,0.48100000000000004,434191823,0.519,2009,PG-13
83,The Twilight Saga: Breaking Dawn - Part 2,829747654,292324737,0.35200000000000004,537422917,0.648,2012,PG-13
84,Spider-Man,825025036,407022860,0.493,418002176,0.507,2002,PG-13
85,Wonder Woman,822854286,412845172,0.502,410009114,0.498,2017,PG-13
86,"Hi, Mom",822009764,,,822009764,1.0,2021,
87,Independence Day,817400891,306169268,0.375,511231623,0.625,1996,PG-13
88,Fantastic Beasts and Where to Find Them,814044001,234037575,0.28800000000000003,580006426,0.7120000000000001,2016,PG-13
89,Shrek the Third,813367380,322719944,0.397,490647436,0.603,2007,PG
90,Coco,807817888,210460015,0.26,597357873,0.74,2017,PG
91,Jumanji: The Next Level,800059707,320314960,0.4,479744747,0.6,2019,PG-13
92,Harry Potter and the Prisoner of Azkaban,797491273,250105651,0.314,547385622,0.6859999999999999,2004,PG
93,Pirates of the Caribbean: Dead Men Tell No Tales,794881442,172558876,0.217,622322566,0.7829999999999999,2017,PG-13
94,E.T. the Extra-Terrestrial,792910554,435110554,0.5489999999999999,357800000,0.451,1982,PG
95,Mission: Impossible - Fallout,791657398,220159104,0.278,571498294,0.722,2018,PG-13
96,2012,791217826,166112167,0.21,625105659,0.79,2009,PG-13
97,Indiana Jones and the Kingdom of the Crystal Skull,790653942,317101119,0.401,473552823,0.599,2008,PG-13
98,Spider-Man 2,788976453,373585825,0.474,415390628,0.526,2004,PG-13
99,Fast & Furious 6,788680968,238679850,0.303,550001118,0.6970000000000001,2013,PG-13
100,Deadpool 2,785896609,324591735,0.413,461304874,0.5870000000000001,2018,R
101,Deadpool,782836791,363070709,0.46399999999999997,419766082,0.536,2016,R
102,Star Wars,775398007,460998507,0.594,314399500,0.406,1977,PG
103,No Time to Die,774153007,160891007,0.20800000000000002,613262000,0.792,2021,PG-13
104,Guardians of the Galaxy,773350147,333718600,0.43200000000000005,439631547,0.568,2014,PG-13
105,The Da Vinci Code,760006945,217536138,0.28600000000000003,542470807,0.7140000000000001,2006,PG-13
106,Fast & Furious Presents: Hobbs & Shaw,759056935,173956935,0.22899999999999998,585100000,0.7709999999999999,2019,
107,Maleficent,758411779,241410378,0.318,517001401,0.682,2014,PG
108,The Amazing Spider-Man,757930663,262030663,0.34600000000000003,495900000,0.654,2012,PG-13
109,The Hunger Games: Mockingjay - Part 1,755356711,337135885,0.446,418220826,0.5539999999999999,2014,PG-13
110,Shrek Forever After,752600867,238736787,0.317,513864080,0.6829999999999999,2010,PG
111,Madagascar 3: Europe's Most Wanted,746921274,216391482,0.29,530529792,0.71,2012,PG
112,Suicide Squad,746846894,325100054,0.435,421746840,0.565,2016,PG-13
113,X-Men: Days of Future Past,746045700,233921534,0.314,512124166,0.6859999999999999,2014,PG-13
114,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",745013115,291710957,0.392,453302158,0.608,2005,PG
115,Monsters University,743559645,268492764,0.361,475066881,0.639,2013,G
116,The Matrix Reloaded,741847937,281576461,0.38,460271476,0.62,2003,R
117,Up,735099102,293004164,0.39899999999999997,442094938,0.601,2009,PG
118,Ne Zha,726264074,3695533,0.005,722568541,0.995,2019,
119,F9: The Fast Saga,726229501,173005945,0.23800000000000002,553223556,0.762,2021,PG-13
120,Gravity,723192705,274092705,0.379,449100000,0.621,2013,PG-13
121,Captain America: The Winter Soldier,714421503,259766572,0.364,454654931,0.636,2014,PG-13
122,The Twilight Saga: Breaking Dawn - Part 1,712205856,281287133,0.395,430918723,0.605,2011,PG-13
123,The Twilight Saga: New Moon,711025481,297816253,0.419,413209228,0.581,2009,PG-13
124,Dawn of the Planet of the Apes,710644566,208545589,0.294,502098977,0.706,2014,PG-13
125,Transformers,709709780,319246193,0.45,390463587,0.55,2007,PG-13
126,The Amazing Spider-Man 2,708982323,202853933,0.28600000000000003,506128390,0.7140000000000001,2014,PG-13
127,It,701842551,328874981,0.469,372967570,0.531,2017,R
128,Interstellar,701729206,188020017,0.268,513709189,0.732,2014,PG-13
129,The Wandering Earth,699992512,5971413,0.008,694021099,0.992,2019,
130,The Twilight Saga: Eclipse,698491347,300531751,0.43,397959596,0.57,2010,PG-13
131,Mission: Impossible - Ghost Protocol,694713380,209397903,0.301,485315477,0.6990000000000001,2011,PG-13
132,The Hunger Games,694394724,408010692,0.588,286384032,0.41200000000000003,2012,PG-13
133,Detective Chinatown 3,686257563,,,686257563,1.0,2021,R
134,Mission: Impossible - Rogue Nation,682716636,195042377,0.28600000000000003,487674259,0.7140000000000001,2015,PG-13
135,Forrest Gump,678226133,330455270,0.48700000000000004,347770863,0.513,1994,PG-13
136,Doctor Strange,677796076,232641920,0.34299999999999997,445154156,0.657,2016,PG-13
137,The Sixth Sense,672806432,293506292,0.436,379300140,0.564,1999,PG-13
138,Man of Steel,668045518,291045518,0.436,377000000,0.564,2013,PG-13
139,Ice Age 2: The Meltdown,667094506,195330621,0.293,471763885,0.7070000000000001,2006,PG
140,Kung Fu Panda 2,665692281,165249063,0.248,500443218,0.752,2011,PG
141,The Hunger Games: Mockingjay - Part 2,658344137,281723902,0.428,376620235,0.5720000000000001,2015,PG-13
142,Justice League,657926987,229024295,0.348,428902692,0.652,2017,PG-13
143,Big Hero 6,657869686,222527828,0.33799999999999997,435341858,0.662,2014,PG
144,Fantastic Beasts: The Crimes of Grindelwald,654855901,159555901,0.244,495300000,0.7559999999999999,2018,PG-13
145,Pirates of the Caribbean: The Curse of the Black Pearl,654264015,305413918,0.467,348850097,0.5329999999999999,2003,PG-13
146,Star Wars: Episode II - Attack of the Clones,653779970,310676740,0.475,343103230,0.525,2002,PG
147,Thor: The Dark World,644783140,206362140,0.32,438421000,0.68,2013,PG-13
148,Moana,644136488,248757044,0.386,395379444,0.614,2016,PG
149,Sing,634338384,270578425,0.42700000000000005,363759959,0.573,2016,PG
150,Kung Fu Panda,632083197,215771591,0.341,416311606,0.659,2008,PG
151,The Incredibles,631607053,261441092,0.414,370165961,0.586,2004,
152,The Martian,630620818,228433663,0.36200000000000004,402187155,0.638,2015,PG-13
153,Hancock,629443428,227946274,0.36200000000000004,401497154,0.638,2008,PG-13
154,Fast Five,626137675,209837675,0.335,416300000,0.665,2011,PG-13
155,Men in Black 3,624026776,179020854,0.287,445005922,0.713,2012,PG-13
156,Iron Man 2,623933331,312433331,0.501,311500000,0.499,2010,PG-13
157,Ratatouille,623726085,206445654,0.331,417280431,0.669,2007,G
158,Ant-Man and the Wasp,622674139,216648740,0.348,406025399,0.652,2018,PG-13
159,How to Train Your Dragon 2,621537519,177002924,0.285,444534595,0.715,2014,PG
160,Logan,619179950,226277068,0.365,392902882,0.635,2017,R
161,The Lost World: Jurassic Park,618638999,229086679,0.37,389552320,0.63,1997,PG-13
162,Casino Royale,616502912,167445960,0.272,449056952,0.728,2006,PG-13
163,The Passion of the Christ,612054506,370782930,0.606,241271576,0.39399999999999996,2004,R
164,Mamma Mia!,611257819,144169664,0.23600000000000002,467088155,0.764,2008,PG-13
165,Life of Pi,609016565,124987023,0.205,484029542,0.795,2012,PG
166,The Batman,606578103,306178103,0.505,300400000,0.495,2022,PG-13
167,Transformers: The Last Knight,605425157,130168683,0.215,475256474,0.785,2017,PG-13
168,Madagascar: Escape 2 Africa,603900354,180010950,0.298,423889404,0.7020000000000001,2008,PG
169,War of the Worlds,603873119,234280354,0.38799999999999996,369592765,0.612,2005,PG-13
170,Tangled,592462816,200821936,0.33899999999999997,391640880,0.6609999999999999,2010,PG
171,Quantum of Solace,589580482,168368427,0.28600000000000003,421212055,0.7140000000000001,2008,PG-13
172,Men in Black,589390539,250690539,0.425,338700000,0.575,1997,PG-13
173,The Croods,587235983,187168425,0.319,400067558,0.6809999999999999,2013,PG
174,The Hangover Part II,586764305,254464305,0.434,332300000,0.5660000000000001,2011,R
175,Iron Man,585796247,319034126,0.545,266762121,0.455,2008,PG-13
176,I Am Legend,585410052,256393010,0.43799999999999994,329017042,0.562,2007,PG-13
177,Ready Player One,582918849,137715350,0.23600000000000002,445203499,0.764,2018,PG-13
178,"Monsters, Inc.",579707738,290642256,0.501,289065482,0.499,2001,G
179,Operation Red Sea,579330426,1543547,0.003,577786879,0.997,2018,
180,Night at the Museum,574481229,250863268,0.43700000000000006,323617961,0.563,2006,PG
181,Fifty Shades of Grey,569651467,166167230,0.292,403484237,0.708,2015,R
182,Kong: Skull Island,566652812,168052812,0.297,398600000,0.703,2017,PG-13
183,The Smurfs,563749323,142614158,0.253,421135165,0.747,2011,PG
184,Cars 2,559852396,191452396,0.342,368400000,0.6579999999999999,2011,G
185,King Kong,556906378,218080025,0.392,338826353,0.608,2005,PG-13
186,Puss in Boots,554987477,149260504,0.26899999999999996,405726973,0.731,2011,PG
187,The Mermaid,553810228,3232685,0.006,550577543,0.9940000000000001,2016,R
188,Armageddon,553709788,201578182,0.364,352131606,0.636,1998,PG-13
189,The Day After Tomorrow,552639571,186740799,0.33799999999999997,365898772,0.662,2004,PG-13
190,Ted,549368315,218815487,0.39799999999999996,330552828,0.602,2012,R
191,American Sniper,547459020,350159020,0.64,197300000,0.36,2014,R
192,Mission: Impossible II,546388108,215409889,0.39399999999999996,330978219,0.606,2000,PG-13
193,Detective Chinatown 2,544185156,1983984,0.004,542201172,0.996,2018,R
194,X-Men: Apocalypse,543934105,155442489,0.28600000000000003,388491616,0.7140000000000001,2016,PG-13
195,Sherlock Holmes: A Game of Shadows,543848418,186848418,0.344,357000000,0.6559999999999999,2011,PG-13
196,Despicable Me,543157985,251557985,0.46299999999999997,291600000,0.537,2010,PG
197,Cinderella,542358331,201151353,0.371,341206978,0.629,2015,PG
198,Madagascar,542063846,193595521,0.35700000000000004,348468325,0.643,2005,PG
199,World War Z,540455876,202807711,0.375,337648165,0.625,2013,PG-13
200,Brave,538983207,237283207,0.44,301700000,0.56,2012,PG
201,Star Wars: Episode V - The Empire Strikes Back,538375067,292753960,0.544,245621107,0.456,1980,PG
202,The Simpsons Movie,536414293,183135014,0.341,353279279,0.659,2007,PG-13
203,The Revenant,532950503,183637894,0.345,349312609,0.655,2015,R
204,The Meg,530517320,145522784,0.27399999999999997,384994536,0.726,2018,PG-13
205,Ralph Breaks the Internet,529323962,201091711,0.38,328232251,0.62,2018,PG
206,Hotel Transylvania 3: Summer Vacation,528583774,167510016,0.317,361073758,0.6829999999999999,2018,PG
207,The Boss Baby,527965936,175003033,0.332,352962903,0.6679999999999999,2017,PG
208,Dunkirk,527016307,189740665,0.36,337275642,0.64,2017,PG-13
209,Godzilla,524976069,200676069,0.382,324300000,0.618,2014,PG-13
210,How to Train Your Dragon: The Hidden World,524535083,160945505,0.307,363589578,0.693,2019,PG
211,Sherlock Holmes,524028679,209028679,0.39899999999999997,315000000,0.601,2009,PG-13
212,Meet the Fockers,522657936,279261160,0.534,243396776,0.466,2004,PG-13
213,WALL·E,521311890,223808164,0.429,297503726,0.5710000000000001,2008,
214,Kung Fu Panda 3,521170825,143528619,0.275,377642206,0.725,2016,PG
215,Terminator 2: Judgment Day,520881154,205881154,0.395,315000000,0.605,1991,R
216,Ant-Man,519311965,180202163,0.34700000000000003,339109802,0.653,2015,PG-13
217,The Grinch,512858819,271384731,0.529,241474088,0.47100000000000003,2018,PG
218,Ghost,505703557,217631306,0.43,288072251,0.57,1990,
219,Aladdin,504050219,217350219,0.431,286700000,0.569,1992,PG
220,Venom: Let There Be Carnage,502050366,213550366,0.425,288500000,0.575,2021,PG-13
221,Rio 2,498781117,131538435,0.264,367242682,0.736,2014,G
222,Troy,497409852,133378256,0.268,364031596,0.732,2004,R
223,Toy Story 2,497375381,245852179,0.494,251523202,0.506,1999,
224,How to Train Your Dragon,494879471,217581231,0.44,277298240,0.56,2010,PG
225,Twister,494580615,241830615,0.489,252750000,0.511,1996,
226,Oz the Great and Powerful,493311825,234911825,0.47600000000000003,258400000,0.524,2013,PG
227,Clash of the Titans,493214993,163214888,0.331,330000105,0.669,2010,PG-13
228,Maleficent: Mistress of Evil,491730089,113929605,0.23199999999999998,377800484,0.768,2019,PG
229,War for the Planet of the Apes,490719763,146880162,0.299,343839601,0.701,2017,PG-13
230,Shrek,488351320,268163011,0.5489999999999999,220188309,0.451,2001,PG
231,Mr. & Mrs. Smith,487287646,186336279,0.382,300951367,0.618,2005,PG-13
232,Angels & Demons,485930816,133375846,0.27399999999999997,352554970,0.726,2009,PG-13
233,Teenage Mutant Ninja Turtles,485004754,191204754,0.39399999999999996,293800000,0.606,2014,PG-13
234,Bruce Almighty,484592874,242829261,0.501,241763613,0.499,2003,PG-13
